Prodotto;Microarea;"Numero Pezzi";Provvigione;"Prezzo Netto";Spettanza
Aulin;Ragusa01;8;25.00;29.48;58.96
"BIOGREEN - GEL 30ML";Ragusa01;1;40.00;13.00;5.20
"BIOGREEN - GEL 30ML";Ragusa02;1;40.00;13.00;5.20
"BIOGREEN - GEL 30ML";Ragusa03;0;40.00;13.00;.00
"BIOGREEN - GEL 30ML";Ragusa04;0;40.00;13.00;.00
"BIOGREEN - GEL 30ML";Ragusa05;4;40.00;13.00;20.80
"BIOGREEN - GEL 30ML";Ragusa06;0;40.00;13.00;.00
"BIOGREEN - GEL 30ML";Ragusa07;0;40.00;13.00;.00
"BIOGREEN - GEL 30ML";Ragusa08;1;40.00;13.00;5.20
"BIOGREEN - GEL 30ML";Ragusa09;0;40.00;13.00;.00
"BIOGREEN - GEL 30ML";Ragusa10;0;40.00;13.00;.00
Mufluil;Ragusa04;7;40.00;20.00;56.00
